reviews_id,user_id,lot_id,booking_id,rating,review_text,sentiment_score,created_at
R101,U121,P117,B2531,5,Affordable pricing and close to metro station.,0.63,2025-12-23T01:33:00
R102,U208,P107,B431,3,"Decent parking, nothing special.",0.01,2025-12-15T21:46:00
R103,U115,P128,B2547,4,"Very convenient location, will book again.",0.65,2025-10-24T15:03:00
R104,U192,P132,B596,5,"Owner was helpful, smooth experience overall.",0.6,2026-01-02T08:39:00
R105,U265,P118,B660,5,"Great parking spot, easy to find and secure.",0.72,2025-10-10T13:16:00
R106,U161,P130,B5088,3,"Decent parking, nothing special.",0.27,2025-10-02T21:29:00
R107,U130,P122,B4435,4,"Great parking spot, easy to find and secure.",0.89,2025-10-16T02:14:00
R108,U108,P128,B2544,5,"Owner was helpful, smooth experience overall.",0.72,2025-11-20T11:45:00
R109,U257,P115,B1648,3,"Decent parking, nothing special.",0.04,2025-11-28T18:54:00
R110,U250,P102,B4065,3,"Decent parking, nothing special.",0.14,2025-12-26T10:51:00
R111,U233,P128,B2925,5,"Owner was helpful, smooth experience overall.",0.78,2025-10-04T20:24:00
R112,U223,P113,B3465,3,"Decent parking, nothing special.",0.17,2025-10-29T20:38:00
R113,U271,P106,B2539,5,Clean and well-lit parking area.,0.74,2025-12-03T11:04:00
R114,U153,P105,B839,5,Affordable pricing and close to metro station.,0.51,2025-11-05T22:58:00
R115,U138,P106,B2127,4,"Very convenient location, will book again.",0.53,2025-11-14T06:41:00
R116,U216,P119,B2903,4,Affordable pricing and close to metro station.,0.94,2025-10-08T12:47:00
R117,U109,P103,B109,5,Affordable pricing and close to metro station.,0.84,2025-10-13T20:07:00
R118,U210,P113,B3873,5,"Very convenient location, will book again.",0.93,2025-11-17T22:54:00
R119,U148,P124,B4335,4,"Great parking spot, easy to find and secure.",0.65,2025-12-03T09:02:00
R120,U221,P104,B3599,5,"Owner was helpful, smooth experience overall.",0.74,2026-01-25T20:53:00
R121,U147,P102,B2027,5,"Owner was helpful, smooth experience overall.",0.64,2025-11-13T20:55:00
R122,U175,P103,B2064,3,Okay for short-term parking.,0.26,2025-10-27T15:09:00
R123,U292,P129,B3713,5,Clean and well-lit parking area.,0.63,2025-11-09T23:47:00
R124,U139,P127,B589,5,Affordable pricing and close to metro station.,0.81,2025-12-21T12:06:00
R125,U198,P128,B3015,5,Clean and well-lit parking area.,0.58,2025-11-08T10:02:00
R126,U267,P123,B1906,5,"Owner was helpful, smooth experience overall.",0.55,2025-11-13T19:05:00
R127,U110,P117,B1585,4,"Owner was helpful, smooth experience overall.",0.57,2025-10-06T12:43:00
R128,U225,P130,B492,5,"Very convenient location, will book again.",0.74,2025-12-06T20:24:00
R129,U276,P113,B3538,3,"Average experience, would use again if nearby.",0.24,2025-12-15T13:09:00
R130,U204,P106,B5021,4,"Owner was helpful, smooth experience overall.",0.95,2025-11-30T06:52:00
R131,U131,P126,B3968,5,Clean and well-lit parking area.,0.78,2026-01-17T19:12:00
R132,U134,P129,B137,2,"Poor lighting at night, felt unsafe.",-0.58,2025-12-29T20:49:00
R133,U188,P127,B3564,3,"Decent parking, nothing special.",0.21,2025-10-06T18:46:00
R134,U267,P128,B3561,3,"Decent parking, nothing special.",-0.07,2025-11-22T17:04:00
R135,U231,P131,B1965,1,"Poor lighting at night, felt unsafe.",-0.41,2026-01-11T23:37:00
R136,U111,P121,B2357,5,"Very convenient location, will book again.",0.84,2026-01-28T21:34:00
R137,U198,P132,B1591,3,"Decent parking, nothing special.",0.11,2026-01-16T18:08:00
R138,U289,P131,B4646,3,"Decent parking, nothing special.",-0.09,2025-12-26T00:37:00
R139,U181,P128,B2508,5,Affordable pricing and close to metro station.,0.59,2026-01-28T01:17:00
R140,U286,P120,B1692,5,"Great parking spot, easy to find and secure.",0.67,2025-12-24T11:49:00
R141,U237,P102,B360,4,"Great parking spot, easy to find and secure.",0.92,2025-10-26T20:54:00
R142,U151,P117,B471,4,Affordable pricing and close to metro station.,0.79,2025-10-07T12:34:00
R143,U221,P121,B3500,4,Clean and well-lit parking area.,0.73,2025-10-14T11:02:00
R144,U135,P129,B4465,4,Clean and well-lit parking area.,0.72,2026-01-11T10:55:00
R145,U212,P120,B2800,4,"Very convenient location, will book again.",0.85,2025-11-08T09:30:00
R146,U167,P130,B4601,5,Clean and well-lit parking area.,0.65,2025-12-01T22:24:00
R147,U243,P103,B3906,5,Affordable pricing and close to metro station.,0.54,2026-01-04T17:26:00
R148,U169,P123,B1694,5,Affordable pricing and close to metro station.,0.8,2026-01-28T18:19:00
R149,U251,P120,B3668,2,"Poor lighting at night, felt unsafe.",-0.7,2025-11-01T18:30:00
R150,U258,P105,B2942,4,"Very convenient location, will book again.",0.65,2025-10-22T14:04:00
R151,U228,P116,B2997,2,"Poor lighting at night, felt unsafe.",-0.63,2025-12-06T09:38:00
R152,U131,P111,B1667,4,Clean and well-lit parking area.,0.61,2026-01-22T12:01:00
R153,U174,P106,B266,4,"Owner was helpful, smooth experience overall.",0.91,2026-01-05T17:23:00
R154,U249,P127,B868,5,"Great parking spot, easy to find and secure.",0.88,2025-10-08T09:14:00
R155,U149,P118,B338,5,"Owner was helpful, smooth experience overall.",0.95,2025-12-14T20:59:00
R156,U110,P108,B2129,2,"Poor lighting at night, felt unsafe.",-0.32,2025-12-22T02:30:00
R157,U162,P121,B774,4,Affordable pricing and close to metro station.,0.64,2025-10-11T05:13:00
R158,U287,P115,B1600,4,Clean and well-lit parking area.,0.67,2025-12-05T03:06:00
R159,U190,P116,B3737,2,"Poor lighting at night, felt unsafe.",-0.48,2025-10-08T12:19:00
R160,U201,P101,B2553,5,Clean and well-lit parking area.,0.51,2026-01-25T09:40:00
R161,U102,P113,B809,4,"Great parking spot, easy to find and secure.",0.95,2025-10-13T12:52:00
R162,U206,P125,B412,5,"Owner was helpful, smooth experience overall.",0.5,2026-01-05T10:13:00
R163,U139,P122,B2808,1,"Poor lighting at night, felt unsafe.",-0.58,2025-11-09T10:19:00
R164,U237,P109,B2121,4,"Owner was helpful, smooth experience overall.",0.8,2025-10-24T06:00:00
R165,U165,P105,B973,4,"Very convenient location, will book again.",0.91,2025-11-22T19:17:00
R166,U232,P132,B3257,3,"Decent parking, nothing special.",0.16,2025-12-20T18:06:00
R167,U141,P119,B1360,2,"Slot was occupied when I arrived, had to wait.",-0.54,2026-01-27T12:26:00
R168,U273,P101,B4029,4,Affordable pricing and close to metro station.,0.64,2025-10-24T15:08:00
R169,U134,P122,B1253,3,"Decent parking, nothing special.",0.14,2025-11-29T15:36:00
R170,U286,P116,B4960,5,Clean and well-lit parking area.,0.84,2025-12-26T17:08:00
R171,U280,P121,B5067,3,"Average experience, would use again if nearby.",0.11,2026-01-21T19:27:00
R172,U191,P124,B3027,1,Price was higher than what was listed.,-0.43,2025-10-21T16:20:00
R173,U285,P122,B2329,4,Clean and well-lit parking area.,0.53,2026-01-24T16:35:00
R174,U151,P113,B3835,4,"Great parking spot, easy to find and secure.",0.65,2026-01-19T19:44:00
R175,U258,P124,B4979,5,"Very convenient location, will book again.",0.93,2026-01-17T22:45:00
R176,U257,P118,B1771,2,"Slot was occupied when I arrived, had to wait.",-0.71,2025-10-16T09:49:00
R177,U268,P110,B610,4,"Owner was helpful, smooth experience overall.",0.78,2025-10-02T01:39:00
R178,U172,P114,B2391,5,Clean and well-lit parking area.,0.73,2025-10-10T18:43:00
R179,U175,P111,B1078,5,"Very convenient location, will book again.",0.92,2025-12-28T15:05:00
R180,U231,P107,B802,3,Okay for short-term parking.,-0.03,2025-11-22T19:07:00
R181,U285,P108,B3824,4,Clean and well-lit parking area.,0.63,2026-01-10T23:10:00
R182,U250,P131,B403,4,"Great parking spot, easy to find and secure.",0.89,2025-12-26T15:25:00
R183,U151,P131,B5011,2,"Narrow entrance, difficult to park.",-0.5,2025-10-17T07:48:00
R184,U141,P124,B4391,3,"Average experience, would use again if nearby.",0.12,2025-12-04T11:39:00
R185,U120,P117,B1403,4,"Very convenient location, will book again.",0.68,2025-11-30T21:41:00
R186,U286,P111,B4157,5,"Great parking spot, easy to find and secure.",0.69,2026-01-22T12:30:00
R187,U182,P107,B2520,4,"Great parking spot, easy to find and secure.",0.92,2025-11-04T08:29:00
R188,U247,P130,B1336,4,"Very convenient location, will book again.",0.8,2025-11-09T09:21:00
R189,U180,P105,B3001,5,"Owner was helpful, smooth experience overall.",0.92,2025-10-08T21:10:00
R190,U177,P115,B1083,3,"Decent parking, nothing special.",0.29,2026-01-19T08:02:00
R191,U193,P121,B3205,5,"Owner was helpful, smooth experience overall.",0.75,2025-10-25T10:44:00
R192,U236,P107,B2787,5,"Great parking spot, easy to find and secure.",0.77,2026-01-10T21:31:00
R193,U103,P109,B4668,4,Affordable pricing and close to metro station.,0.8,2025-10-11T17:50:00
R194,U153,P116,B4977,5,Clean and well-lit parking area.,0.88,2025-10-25T06:52:00
R195,U130,P112,B1339,4,"Owner was helpful, smooth experience overall.",0.8,2026-01-19T10:55:00
R196,U101,P112,B4494,5,"Very convenient location, will book again.",0.55,2025-10-06T09:08:00
R197,U113,P130,B1510,4,Affordable pricing and close to metro station.,0.92,2025-11-12T14:36:00
R198,U271,P102,B2728,3,Okay for short-term parking.,0.16,2025-12-16T17:54:00
R199,U157,P103,B1839,2,Price was higher than what was listed.,-0.38,2025-10-11T20:47:00
R200,U187,P108,B2940,5,Clean and well-lit parking area.,0.69,2026-01-13T13:31:00
R201,U224,P117,B5024,5,"Owner was helpful, smooth experience overall.",0.71,2025-11-23T17:42:00
R202,U284,P103,B688,3,"Decent parking, nothing special.",0.18,2025-10-18T22:47:00
R203,U165,P103,B2920,4,Clean and well-lit parking area.,0.85,2025-10-25T03:17:00
R204,U130,P117,B3970,2,App showed available but lot was full.,-0.85,2025-10-18T10:38:00
R205,U201,P125,B1276,5,"Owner was helpful, smooth experience overall.",0.68,2026-01-25T18:20:00
R206,U149,P106,B3234,3,"Decent parking, nothing special.",0.21,2026-01-10T08:24:00
R207,U299,P102,B2039,5,Clean and well-lit parking area.,0.95,2025-11-15T23:33:00
R208,U119,P113,B3617,3,"Average experience, would use again if nearby.",-0.1,2026-01-13T19:34:00
R209,U246,P105,B4471,3,"Average experience, would use again if nearby.",0.01,2025-11-27T12:50:00
R210,U119,P107,B1269,2,"Narrow entrance, difficult to park.",-0.62,2026-01-22T10:11:00
R211,U220,P107,B289,4,"Great parking spot, easy to find and secure.",0.6,2025-12-09T15:27:00
R212,U204,P110,B3041,4,"Very convenient location, will book again.",0.51,2025-12-27T02:09:00
R213,U106,P121,B125,4,"Great parking spot, easy to find and secure.",0.74,2025-12-16T19:26:00
R214,U175,P119,B536,5,Clean and well-lit parking area.,0.79,2025-12-28T16:44:00
R215,U224,P102,B309,2,"Slot was occupied when I arrived, had to wait.",-0.65,2025-10-18T19:11:00
R216,U281,P128,B3677,3,"Average experience, would use again if nearby.",0.05,2025-12-21T11:46:00
R217,U109,P104,B3926,5,Clean and well-lit parking area.,0.94,2026-01-12T23:16:00
R218,U283,P131,B2073,1,"Slot was occupied when I arrived, had to wait.",-0.61,2026-01-19T19:01:00
R219,U135,P120,B3552,4,"Great parking spot, easy to find and secure.",0.86,2026-01-04T20:21:00
